,code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
439,ETH,2011,4.064207,1336.06695076749,17.735,33.8,16.5,,0.487,4.449,60.7206,23.34437,0.372,12.3783,94.878,0.0,0.062079374,0.422,848.0,15.0270195,0.35,Africa,Sub-Saharan Africa
440,FIN,2022,7.8042,49275.1537762966,85.25,87.6,2.243,42.908,0.98,11.945,81.446,3.6476097,0.955,13.855,83.42238,0.4255060078846154,0.0,0.932,536.0,0.818,0.273,Europe,Northern Europe
441,FIN,2021,7.821,48614.8203098492,85.596,87.6,2.6,43.229687,0.983,11.945,82.0381,2.7399426,0.953,13.855,83.422,0.1646577163576923,0.0,0.94,536.0,0.818,0.273,Europe,Northern Europe
442,FIN,2020,7.8421,47371.2175698728,85.517,87.6,2.4,41.944984,0.984,11.738752,81.8657,4.7219,0.96,13.855,83.422,0.0688240672937735,0.0,0.938,536.0,0.818,0.2709117,Europe,Northern Europe
443,FIN,2019,7.8087,48583.4339897935,85.446,87.6,1.9,42.393833,0.986,11.945,81.8706,3.1178398,0.961,13.4337,83.422,0.0,0.0,0.939,536.0,0.73263884,0.27737328,Europe,Northern Europe
444,FIN,2018,7.7689,48048.5246160501,85.382,85.0,2.0,42.50242,0.988,12.047586,81.6266,3.576641,0.966,14.4052,83.422,0.0,0.0,0.936,536.0,0.6559258,0.27329773,Europe,Northern Europe
445,FIN,2017,7.6321,47570.133583848,85.325,85.0,2.1,42.989204,0.987,12.05,81.4976,2.8574555,0.963,14.3984,83.422,0.0,0.0,0.934,536.0,0.6156836,0.27383086,Europe,Northern Europe
446,FIN,2016,7.469,46206.7878130494,85.275,89.0,2.3,43.869015,0.988,11.945,81.2915,3.4305918,0.959,13.2613,83.422,0.0,0.0,0.931,536.0,0.6725403,0.27078485,Europe,Northern Europe
447,FIN,2015,7.413,45072.5902146238,85.225,90.0,2.4,43.667244,0.988,11.945,81.4178,4.1531925,0.959,12.1491,83.422,0.0,0.0,0.93,536.0,0.77407926,0.2710204,Europe,Northern Europe
448,FIN,2014,7.406,44976.7764487708,85.175,89.0,2.243,43.64684,0.988,11.945,81.0125,3.889982,0.968,13.6546,83.422,0.0,0.0,0.927,536.0,0.90574306,0.26776975,Europe,Northern Europe
449,FIN,2011,7.579009,46825.8248388831,84.313,87.6,2.243,41.925674,0.989,11.945,80.3915,3.759362,0.969,15.6825,83.422,0.0,0.0,0.915,536.0,1.3696787,0.2764282,Europe,Northern Europe
450,FRA,2022,6.6613,45904.4112972518,80.126,70.0,1.1,47.39,0.938,11.247,82.38,14.760932,0.921,11.046,85.3784,0.2108915960538461,0.0,0.896,867.0,2.676,0.32,Europe,Western Europe
