code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
BLR,2021,5.8215,19872.6924952009,79.91,,,,0.164,,72.438,7.30788,0.211,,,1.1604558682692308,0.0,0.808,,,,Europe,Eastern Europe
BLR,2020,5.5335,19239.5531427458,79.483,,,32.618946,0.196,10.784273,72.5132,9.106788,0.241,,,0.7213926186792452,0.0,0.807,,,0.24383356,Europe,Eastern Europe
BLR,2019,5.5399,19288.0406878264,79.044,,,34.61063,0.692,,74.216,8.870981,0.656,16.4924,,,0.0,0.817,618.0,6.77795,0.25277847,Europe,Eastern Europe
BLR,2018,5.3225,18974.7452169516,78.595,44.0,,35.620087,0.691,,74.5676,7.92857,0.653,17.9443,,,0.0,0.818,618.0,6.7878304,0.25240526,Europe,Eastern Europe
BLR,2017,5.4833,18356.0660575514,78.134,44.0,,34.572056,0.687,,74.4519,7.668058,0.644,18.4619,,,0.0,0.817,618.0,6.8187437,0.2544457,Europe,Eastern Europe
BLR,2016,5.569,17883.19031839,77.661,40.0,,35.748615,0.671,,74.258,7.7674637,0.632,19.3953,,,0.0,0.813,618.0,7.1798005,0.25306615,Europe,Eastern Europe
BLR,2015,5.802,18362.6952543104,77.181,32.0,,35.58217,0.653,,73.9874,8.640975,0.602,19.5525,,,0.0,0.812,618.0,7.7084856,0.25633225,Europe,Eastern Europe
BLR,2014,5.813,19119.3121378627,76.693,31.0,,34.739315,0.651,,73.5849,7.806661,0.602,21.5857,88.31913,,0.0,0.812,618.0,8.07391,0.27176666,Europe,Eastern Europe
BLR,2011,5.566307,18274.0196322851,75.188,,,33.278404,0.648,,71.5165,7.547709,0.569,30.1626,,,0.0,0.797,618.0,9.04906,0.2715255,Europe,Eastern Europe
BEL,2022,6.8591,53287.1536143837,,,,,0.978,,,11.5119095,0.956,,,0.2116425384903846,0.0,,,,,Europe,Western Europe
BEL,2021,6.805,52174.9068234526,98.117,,1.5,44.904606,0.978,,81.8787,10.086791,0.954,,,0.1045427117365384,0.0,0.937,,,,Europe,Western Europe
BEL,2020,6.834,49030.9912855647,98.079,,1.3,44.918888,0.976,11.183289,80.7884,11.5468445,0.953,,,0.4329346729245283,0.0,0.928,,,0.2595833,Europe,Western Europe
BEL,2019,6.8635,51977.1736814287,98.041,,1.1,44.832016,0.98,,81.8311,10.921496,0.961,13.9283,,,0.0,0.936,847.0,3.3124945,0.27219802,Europe,Western Europe
BEL,2018,6.923,51113.4817384021,98.001,75.0,,46.405468,0.98,11.240353,81.4787,11.186072,0.961,14.3193,,,0.034938775,0.933,847.0,3.3239088,0.27214414,Europe,Western Europe
BEL,2017,6.9269,50442.2705419624,97.961,75.0,,46.381866,0.98,11.14,81.3618,10.717227,0.961,14.5945,,,0.0,0.931,847.0,3.3167343,0.27387968,Europe,Western Europe
BEL,2016,6.891,49829.9273887741,97.919,77.0,,45.834755,0.98,,81.2661,10.349013,0.962,15.0211,,,0.3004373,0.927,847.0,3.3633764,0.27580982,Europe,Western Europe
BEL,2015,6.929,49456.3985817783,97.876,77.0,,46.630493,0.98,,80.8898,10.621595,0.962,14.4114,,,0.0,0.924,847.0,3.475849,0.27729464,Europe,Western Europe
BEL,2014,6.937,48748.6205926039,97.833,76.0,,47.410248,0.984,,81.0811,11.247949,0.965,15.1285,,,0.0,0.921,847.0,3.6776106,0.28134146,Europe,Western Europe
BEL,2011,7.113178,48154.8711461252,97.698,,,46.191936,0.984,,80.3649,10.911835,0.965,16.7076,,,0.0,0.914,847.0,4.4978285,0.28060696,Europe,Western Europe
BLZ,2017,5.9556,8798.69905704344,45.601,,,21.160198,,,73.5624,25.905405,,7.71,,,0.0,0.707,1705.0,6.785864,,Americas,Latin America and the Caribbean
BLZ,2016,5.956,9141.2454122414,45.495,,,20.484173,,,73.3988,26.026855,,6.67,,,0.0,0.712,1705.0,6.9507437,,Americas,Latin America and the Caribbean
BLZ,2015,5.956,9331.31266298748,45.406,,,19.567799,,,73.1866,26.211744,,6.87,,,0.0,0.708,1705.0,7.112918,,Americas,Latin America and the Caribbean
BLZ,2011,6.450644,8767.31491539721,45.228,,,18.442484,,,72.6512,25.81542,,7.92,,,0.0,0.709,1705.0,6.8957,,Americas,Latin America and the Caribbean
BEN,2022,4.3737,3435.1716165759,,,,,0.868,,,27.635437,0.824,,,0.169510089326923,0.247138,,,,,Africa,Sub-Saharan Africa
BEN,2021,4.6232,3321.55197071047,48.972,,15.3,,0.87,,59.821,28.335459,0.808,,,0.2718873632692307,0.0,0.525,,,,Africa,Sub-Saharan Africa
BEN,2020,5.0452,3186.48609895157,48.415,,13.8,,0.874,5.6664166,60.088,27.868393,0.818,,,0.058770066345283,0.0,0.524,,,,Africa,Sub-Saharan Africa
BEN,2019,5.216,3156.43876330799,47.861,,13.8,,0.882,,60.4537,27.937925,0.845,12.7127,,,0.008136403,0.53,1039.0,15.1682005,,Africa,Sub-Saharan Africa
BEN,2018,4.8832,3040.16735376931,47.312,40.0,14.2,,0.932,5.64372,60.1403,27.714806,0.878,12.9745,,,0.0,0.53,1039.0,15.164894,0.37948644,Africa,Sub-Saharan Africa
BEN,2017,4.1414,2933.83738431719,46.768,39.0,14.4,,0.933,5.73,59.8558,27.960014,0.92,13.1069,,,0.0,0.53,1039.0,15.308401,,Africa,Sub-Saharan Africa
BEN,2016,3.657,2859.39151002765,46.229,36.0,13.1,,0.918,,59.5394,28.079681,0.901,13.2741,,,0.0,0.53,1039.0,15.33934,,Africa,Sub-Saharan Africa
BEN,2015,3.484,2849.82032440254,45.695,37.0,10.4,,0.888,,59.3771,27.833368,0.875,13.3759,,,0.0,0.529,1039.0,15.476394,0.47755915,Africa,Sub-Saharan Africa
BEN,2014,3.34,2883.89892063343,45.166,39.0,,,0.899,,59.1249,27.722437,0.869,13.6455,,,0.0,0.524,1039.0,15.366891,,Africa,Sub-Saharan Africa
BEN,2011,3.492997,2633.93889798441,43.608,,,11.215374,0.885,,58.4624,27.90756,0.872,14.1437,,,0.0,0.499,1039.0,15.462409,0.43439707,Africa,Sub-Saharan Africa
BTN,2018,5.0821,11931.6631740763,40.895,68.0,,17.21909,0.796,,71.1286,8.47277,0.733,5.11,,,0.0,0.658,2200.0,16.179342,,Asia,Southern Asia
BTN,2017,5.0821,11619.0645094045,40.167,67.0,,13.268918,0.795,,70.8472,9.005468,0.712,5.14,,,0.0,0.647,2200.0,16.326466,0.3744141,Asia,Southern Asia
BTN,2016,5.011,11196.7703394116,39.428,65.0,,13.915841,0.788,,70.6022,9.125375,0.713,5.05,,,0.0,0.638,2200.0,16.523127,,Asia,Southern Asia
BTN,2015,5.196,10445.5758475032,38.678,65.0,,14.09044,0.783,,70.3433,8.318613,0.717,5.16,,,0.0,0.627,2200.0,16.703653,,Asia,Southern Asia
BTN,2014,5.253,9886.98059766614,37.918,65.0,,14.562643,0.783,,70.0486,8.505215,0.717,5.19,,,0.0,0.617,2200.0,16.781145,,Asia,Southern Asia
BOL,2022,5.6843,8244.23565848464,,,,,0.782,,,20.415651,0.823,,80.93856,0.3216530512115385,0.016361104,,,,,Americas,Latin America and the Caribbean
BOL,2021,5.6003,8052.60002635529,70.475,,,20.296467,0.776,,63.6304,20.473661,0.819,,,0.6738603898076924,0.016557012,0.692,,,0.40913323,Americas,Latin America and the Caribbean
BOL,2020,5.7159,7679.93319449802,70.123,,,19.632416,0.652,,64.4667,21.083246,0.727,,,0.4768906700188679,0.008377898,0.694,,,0.43645486,Americas,Latin America and the Caribbean
BOL,2019,5.7475,8528.74880360829,69.773,,,22.516605,0.633,,67.841,20.839853,0.722,6.82,,,0.0,0.717,1146.0,8.555846,0.41644758,Americas,Latin America and the Caribbean
BOL,2018,5.7793,8466.29319952075,69.425,29.0,,24.977852,0.774,,67.748,20.248945,0.845,6.97,,,0.0,0.714,1146.0,8.636104,0.42579758,Americas,Latin America and the Caribbean
BOL,2017,5.7519,8244.93344575115,69.08,33.0,,23.95671,0.775,,67.7015,20.68914,0.85,7.17,,,0.0,0.708,1146.0,8.766901,0.44618952,Americas,Latin America and the Caribbean
BOL,2016,5.823,8034.17272467539,68.738,33.0,,26.129286,0.762,,67.6277,20.647776,0.839,7.43,,,0.0,0.701,1146.0,9.031759,0.45244002,Americas,Latin America and the Caribbean
